Indicator	Category	Ransomware	Keylogger	Worm	Backdoor	Techniques
Contains Laser debit card numbers.	general	0	0	0	0	
Contains lzf compressed PE file.	general	0	0	0	0	T1027
Contains lzjb compressed PE file.	general	0	0	0	0	T1027
Contains lzma compressed PE file.	general	0	0	0	0	T1027
Contains lzmat compressed PE file.	general	0	0	0	0	T1027
Contains lzo2a compressed PE file.	general	0	0	0	0	T1027
Contains Maestro credit card numbers.	general	0	0	0	0	
Contains MasterCard credit card numbers.	general	0	0	0	0	
Contains MIME header fields.	general	0	0	0	0	
Contains non-printable ASCII characters in attribute names.	general	0	0	0	0	
Contains one or more script files.	general	0	0	0	0	T1064
Contains one or more tracking pixels.	general	0	0	0	0	
Contains Perl scripts.	general	0	0	0	0	T1064
Contains PHP scripts.	general	0	0	0	0	T1064
Contains placeholders for IP addresses.	general	0	0	0	0	
Contains potentially deceptive links.	general	0	0	0	0	T1192
Contains potentially obfuscated code or data.	general	0	0	0	0	T1027
Contains PowerShell script packed with PS2EXE.	general	0	0	0	0	T1027;T1045
Contains Python scripts.	general	0	0	0	0	T1064
Contains reference to AES algorithm .NET Framework classes.	general	1	0	0	0	
Contains reference to ASN (Abstract Syntax Notation) .NET Framework classes.	general	0	0	0	0	
Contains reference to Base64 algorithm .NET Framework classes.	general	0	0	0	0	T1140
Contains reference to CNG (Cryptography Next Generation) .NET Framework classes.	general	1	0	0	0	
Contains reference to cryptography-related utility .NET Framework classes.	general	1	0	0	0	
Contains reference to Deflate algorithm .NET Framework classes.	general	0	0	0	0	
Contains reference to DES algorithm .NET Framework classes.	general	1	0	0	0	
Contains reference to DSA (Digital Signature Algorithm) .NET Framework classes.	general	1	0	0	0	
Contains reference to elliptic-curve algorithm .NET Framework classes.	general	1	0	0	0	
Contains reference to GZip compression .NET Framework classes.	general	0	0	0	0	
Contains reference to HMAC algorithm .NET Framework classes.	general	0	0	0	0	
Contains reference to MD5 algorithm .NET Framework classes.	general	0	0	0	0	
Contains reference to PBKDF2 algorithm .NET Framework classes.	general	1	0	0	0	
Contains reference to RC2 algorithm .NET Framework classes.	general	1	0	0	0	
